id,title,b,curPri,oldPri
1,薇欧薇薇欧薇VOV保湿修颜霜 50ml BB霜 遮瑕补水 裸妆 自然色2#,6.8折/,￥128,￥188
2,高夫【竹炭控油】高夫 竹·炭净源控油护肤礼盒 清爽控油套装 均码,5.9折/,￥66,￥111
3,小蜜坊小蜜坊Manuka Bee秋天画廊哑光口红三支装1#（1210/1314/1510） （1111火焰橙+1314中国红+1510裸米色）,2.8折/,￥99,￥357
4,原泥动力【打造紧实小V脸 】原泥动力 火山暖泥套盒 提拉紧致 其它颜色,3.5折/,￥228,￥658
5,高夫【竹炭控油】高夫 竹·炭净源控油护肤礼盒 清爽控油套装 均码,5.9折/,￥66,￥111
6,小蜜坊小蜜坊Manuka Bee秋天画廊哑光口红三支装1#（1210/1314/1510） （1111火焰橙+1314中国红+1510裸米色）,2.8折/,￥99,￥357
7,原泥动力【打造紧实小V脸 】原泥动力 火山暖泥套盒 提拉紧致 其它颜色,3.5折/,￥228,￥658
8,薇欧薇薇欧薇VOV保湿修颜霜 50ml BB霜 遮瑕补水 裸妆 自然色2#,6.8折/,￥128,￥188
9,高夫【竹炭控油】高夫 竹·炭净源控油护肤礼盒 清爽控油套装 均码,5.9折/,￥66,￥111
10,小蜜坊小蜜坊Manuka Bee秋天画廊哑光口红三支装1#（1210/1314/1510） （1111火焰橙+1314中国红+1510裸米色）,2.8折/,￥99,￥357
11,薇欧薇薇欧薇VOV保湿修颜霜 50ml BB霜 遮瑕补水 裸妆 自然色2#,6.8折/,￥128,￥188
12,高夫【竹炭控油】高夫 竹·炭净源控油护肤礼盒 清爽控油套装 均码,5.9折/,￥66,￥111
13,小蜜坊小蜜坊Manuka Bee秋天画廊哑光口红三支装1#（1210/1314/1510） （1111火焰橙+1314中国红+1510裸米色）,2.8折/,￥99,￥357
14,原泥动力【打造紧实小V脸 】原泥动力 火山暖泥套盒 提拉紧致 其它颜色,3.5折/,￥228,￥658
15,薇欧薇薇欧薇VOV保湿修颜霜 50ml BB霜 遮瑕补水 裸妆 自然色2#,6.8折/,￥128,￥188
16,高夫【竹炭控油】高夫 竹·炭净源控油护肤礼盒 清爽控油套装 均码,5.9折/,￥66,￥111
